building_id,parcel_id
way/843003285,9
way/843003285,69
way/843003299,75
way/843003315,8
way/843003323,74/1
way/1072528782,95
way/1072528782,112
way/1072528784,8
way/1072528785,8
way/1072528786,8
way/1072528787,8
way/1072528788,8
way/1072528789,8
way/1072528790,8
way/1072528790,7
way/1072528791,8
way/1072528791,90
way/1072528792,8
way/1072528793,8
way/1072528794,8
way/1072528794,90
way/1072528795,8
way/1072528796,8
way/1072528797,96
way/1072528798,96
way/1072528799,96
way/1072528800,95
way/1072528801,95
way/1072528802,95
way/1072528803,95
way/1341558008,53
way/1341558009,137
way/1341558010,137
way/1341558011,137
way/1341558012,137
way/1341558013,137
way/1341558014,137
way/1341558015,137
way/1341558016,137
way/1341558017,137
way/1341558018,137
way/1341558019,137
way/1341558020,137
way/1341558021,137
way/1341558022,137
way/1341558023,137
way/1341558024,137
way/1341558025,137
way/1341558026,49
way/1341558027,49
way/1341558028,49
way/1341558029,49
way/1341558030,49
way/1341558031,49
way/1341558032,49
way/1341558033,49
way/1341558034,15
way/1341558035,64
way/1341558036,64
way/1341558037,64
way/1341558038,64
way/1341558039,64
way/1341558040,74/1
way/1341558041,74/1
way/1341558042,74/1
way/1341558043,74/1
way/1341558043,72
way/1341558044,74/1
way/1341558044,72
way/1341558045,94
way/1341558045,74/1
way/1341558045,72
way/1341558045,132
way/1341558046,74/1
way/1341558047,74/1
way/1341558048,94
way/1341558049,94
way/1341558050,94
way/1341558051,94
way/1341558052,94
way/1341558053,94
way/1341558054,75
way/1341558055,78
way/1341558055,76
way/1341558056,78
way/1341558056,76
way/1341558057,78
way/1341558057,76
way/1341558058,78
way/1341558059,78
way/1341558060,79/1
way/1374361362,24/1
way/1374361362,119
way/1374361363,24/1
way/1374361364,24/1
way/1374361365,24/1
way/1374361366,24/1
way/1374361367,24/1
way/1374361368,24/1
way/1374361369,24/1
way/1374361370,24/1
way/1374361370,119
way/1374361371,24/1
way/1374361371,120
way/1374361371,119
way/1374361372,24/1
way/1374361372,120
way/1374361373,24/1
way/1374361373,120
way/1374363244,23
way/1374363244,22
way/1374363245,23
way/1374363246,23
way/1374363246,22
way/1374363247,23
way/1374363247,24/1
way/1374363248,32/1
way/1374363248,29
way/1374363249,32/1
way/1374363250,32/1
way/1374363251,32/1
way/1374363252,30
way/1374363252,32/1
way/1374363253,135
way/1374363253,30
way/1374363253,33
way/1374363254,32/1
way/1374363254,29
way/1374363255,32/1
way/1374363256,32/1
way/1374363257,32/1
way/1374363258,30
way/1374363258,32/1
way/1374363259,135
way/1374363259,30
way/1374363260,60
way/1374363260,32/1
way/1374363261,60
way/1374363262,60
way/1374363263,60
way/1374363263,32/1
way/1374363264,60
way/1374363265,60
way/1374363265,133
way/1374363266,39/2
way/1374363267,39/2
way/1374363268,39/2
way/1374363269,39/2
way/1374363269,136
way/1374363270,39/2
way/1374363271,36/1
way/1374363272,36/1
way/1374363273,36/1
way/1374363273,136
way/1374365097,44
way/1374365097,43
way/1374365098,44
way/1374365098,43
way/1374365099,44
way/1374365100,44
way/1374365101,44
way/1374365102,43
way/1374365102,39/1
way/1374365103,73/1
way/1374365103,67+70+71
way/1374365104,73/1
way/1374365104,67+70+71
way/1374365105,72
way/1374365105,73/1
way/1374365106,72
way/1374365106,73/1
way/1374365107,72
way/1374365107,73/1
way/1374365108,72
way/1374365108,132
way/1374365108,73/1
way/1374365109,73/1
way/1374365109,67+70+71
