parcel_id,source_type,source_id,survey_date,source_status,crs
121,CTPVD_Final_Plot,121,,verified,EPSG:32643
6/2,CTPVD_Final_Plot,6/2,,verified,EPSG:32643
95,CTPVD_Final_Plot,95,,verified,EPSG:32643
29,CTPVD_Final_Plot,29,,verified,EPSG:32643
97,CTPVD_Final_Plot,97,,verified,EPSG:32643
80,CTPVD_Final_Plot,80,,verified,EPSG:32643
(109+110+111)/1,CTPVD_Final_Plot,(109+110+111)/1,,verified,EPSG:32643
140,CTPVD_Final_Plot,140,,verified,EPSG:32643
117,CTPVD_Final_Plot,117,,verified,EPSG:32643
92/2,CTPVD_Final_Plot,92/2,,verified,EPSG:32643
61,CTPVD_Final_Plot,61,,verified,EPSG:32643
116,CTPVD_Final_Plot,116,,verified,EPSG:32643
54,CTPVD_Final_Plot,54,,verified,EPSG:32643
74/1,CTPVD_Final_Plot,74/1,,verified,EPSG:32643
66/1,CTPVD_Final_Plot,66/1,,verified,EPSG:32643
18,CTPVD_Final_Plot,18,,verified,EPSG:32643
107,CTPVD_Final_Plot,107,,verified,EPSG:32643
2,CTPVD_Final_Plot,2,,verified,EPSG:32643
12,CTPVD_Final_Plot,12,,verified,EPSG:32643
17,CTPVD_Final_Plot,17,,verified,EPSG:32643
118,CTPVD_Final_Plot,118,,verified,EPSG:32643
105,CTPVD_Final_Plot,105,,verified,EPSG:32643
6/1,CTPVD_Final_Plot,6/1,,verified,EPSG:32643
42,CTPVD_Final_Plot,42,,verified,EPSG:32643
56/1/2,CTPVD_Final_Plot,56/1/2,,verified,EPSG:32643
30,CTPVD_Final_Plot,30,,verified,EPSG:32643
77,CTPVD_Final_Plot,77,,verified,EPSG:32643
98+99+100+103,CTPVD_Final_Plot,98+99+100+103,,verified,EPSG:32643
24/1,CTPVD_Final_Plot,24/1,,verified,EPSG:32643
67+70+71,CTPVD_Final_Plot,67+70+71,,verified,EPSG:32643
68,CTPVD_Final_Plot,68,,verified,EPSG:32643
33,CTPVD_Final_Plot,33,,verified,EPSG:32643
