building_id,source_parcel_id,source_parcel_ids,source_parcel_count,raw_row_count,unique_geometry_count,inferred_parcel_id,candidate_count,intersection_area_sq_m,parcel_coverage,building_coverage,iou,centroid_distance_m,spatial_score,score_margin,resolution
way/843003285,9,9|69,2,2,1,9,2,220.012,0.0352,0.7575,0.0348,41.266,0.4382,0.315,CONSISTENT_LOW_CONFIDENCE
way/843003299,75,75,1,1,1,75,2,121.257,0.0399,1.0,0.0399,27.969,0.6402,0.6003,CONSISTENT_LOW_CONFIDENCE
way/843003315,8,8,1,1,1,8,1,132.606,0.0117,1.0,0.0117,61.728,0.5023,,CONSISTENT_LOW_CONFIDENCE
way/843003323,74/1,74/1,1,1,1,74/1,1,679.906,0.0843,1.0,0.0843,12.372,0.7426,,CONSISTENT
way/1072528782,95,95|112,2,2,1,112,5,1473.201,0.897,0.954,0.8599,1.595,0.9468,0.8406,CONSISTENT
way/1072528784,8,8,1,1,1,8,2,397.861,0.0352,1.0,0.0352,71.155,0.507,0.4573,CONSISTENT_LOW_CONFIDENCE
way/1072528785,8,8,1,1,1,8,2,370.662,0.0328,1.0,0.0328,50.85,0.5066,0.4322,CONSISTENT_LOW_CONFIDENCE
way/1072528786,8,8,1,1,1,8,3,350.878,0.0311,1.0,0.0311,34.104,0.6016,0.5347,CONSISTENT_LOW_CONFIDENCE
way/1072528787,8,8,1,1,1,8,2,330.081,0.0292,1.0,0.0292,25.069,0.6554,0.5765,CONSISTENT
way/1072528788,8,8,1,1,1,8,3,492.68,0.0436,1.0,0.0436,34.851,0.5996,0.5419,CONSISTENT_LOW_CONFIDENCE
way/1072528789,8,8,1,1,1,8,2,479.208,0.0424,1.0,0.0424,60.328,0.5085,0.4141,CONSISTENT_LOW_CONFIDENCE
way/1072528790,8,8|7,2,2,1,8,2,362.157,0.0321,0.9984,0.032,60.577,0.5056,0.4441,CONSISTENT_LOW_CONFIDENCE
way/1072528791,8,8|90,2,2,1,8,2,317.743,0.0281,0.9746,0.0281,60.337,0.4929,0.48,CONSISTENT_LOW_CONFIDENCE
way/1072528792,8,8,1,1,1,8,2,302.359,0.0268,1.0,0.0268,44.104,0.5407,0.5407,CONSISTENT_LOW_CONFIDENCE
way/1072528793,8,8,1,1,1,8,2,532.782,0.0472,1.0,0.0472,29.978,0.6296,0.562,CONSISTENT_LOW_CONFIDENCE
way/1072528794,8,8|90,2,2,1,8,2,524.914,0.0465,0.9837,0.0464,37.161,0.5782,0.4997,CONSISTENT_LOW_CONFIDENCE
way/1072528795,8,8,1,1,1,8,2,424.072,0.0375,1.0,0.0375,60.174,0.5075,0.5075,CONSISTENT_LOW_CONFIDENCE
way/1072528796,8,8,1,1,1,8,1,473.984,0.0419,1.0,0.0419,52.054,0.5084,,CONSISTENT_LOW_CONFIDENCE
way/1072528797,96,96,1,1,1,96,1,344.08,0.1452,1.0,0.1452,13.759,0.7465,,CONSISTENT
way/1072528798,96,96,1,1,1,96,2,308.061,0.13,1.0,0.13,14.869,0.7368,0.6458,CONSISTENT
way/1072528799,96,96,1,1,1,96,2,468.781,0.1978,1.0,0.1978,10.671,0.7755,0.7755,CONSISTENT
way/1072528800,95,95,1,1,1,95,2,357.708,0.1682,1.0,0.1682,14.236,0.7482,0.6413,CONSISTENT
way/1072528801,95,95,1,1,1,95,2,315.835,0.1485,1.0,0.1485,12.953,0.752,0.6385,CONSISTENT
way/1072528802,95,95,1,1,1,95,2,208.58,0.0981,1.0,0.0981,19.814,0.7007,0.6124,CONSISTENT
way/1072528803,95,95,1,1,1,95,2,187.986,0.0884,1.0,0.0884,14.365,0.7315,0.6233,CONSISTENT
way/1341558008,53,53,1,1,1,53,3,513.197,0.1798,1.0,0.1798,20.666,0.712,0.712,CONSISTENT
way/1341558009,137,137,1,1,1,137,3,642.34,0.0265,1.0,0.0265,88.437,0.5053,0.4632,CONSISTENT_LOW_CONFIDENCE
way/1341558010,137,137,1,1,1,137,1,642.571,0.0265,1.0,0.0265,72.241,0.5053,,CONSISTENT_LOW_CONFIDENCE
way/1341558011,137,137,1,1,1,137,1,642.476,0.0265,1.0,0.0265,59.49,0.5053,,CONSISTENT_LOW_CONFIDENCE
way/1341558012,137,137,1,1,1,137,1,642.476,0.0265,1.0,0.0265,52.473,0.5053,,CONSISTENT_LOW_CONFIDENCE
way/1341558013,137,137,1,1,1,137,1,642.734,0.0265,1.0,0.0265,51.077,0.5053,,CONSISTENT_LOW_CONFIDENCE
way/1341558014,137,137,1,1,1,137,1,642.314,0.0265,1.0,0.0265,56.589,0.5053,,CONSISTENT_LOW_CONFIDENCE
